time,dcBusVoltage
163.45, 110.3999939
163.562, 110.3999939
163.674, 110.3999939
163.786, 110.2999954
163.892, 110.1999969
164.002, 110.1999969
164.108, 110.1999969
164.217, 110.0999985
164.324, 110.0999985
164.433, 110.0999985
164.54, 110
164.646, 110
164.753, 109.8999939
164.859, 109.8999939
164.969, 109.7999954
165.075, 109.7999954
165.185, 109.7999954
165.294, 109.6999969
165.401, 109.6999969
165.504, 109.6999969
165.616, 109.6999969
165.723, 110.0999985
165.814, 115.0999985
165.921, 117.6999969
166.028, 118.5
166.134, 118.7999954
166.246, 119
166.355, 119
166.461, 119.0999985
166.569, 119.1999969
166.677, 119.1999969
166.787, 119.2999954
166.896, 119.2999954
167.005, 119.2999954
167.112, 119.4000015
167.219, 119.4000015
167.328, 119.5
167.438, 119.5
167.547, 119.5999985
167.657, 119.6999969
167.765, 119.6999969
167.876, 119.6999969
167.982, 119.7999954
168.092, 119.7999954
168.198, 119.7999954
168.308, 119.7999954
168.414, 119.7999954
168.518, 119.9000015
168.624, 119.9000015
168.735, 119.9000015
168.845, 119.9000015
168.956, 120
169.065, 120
169.172, 120
169.283, 120
169.39, 120.0999985
169.499, 120.0999985
169.606, 120.0999985
169.715, 120.0999985
169.821, 120.0999985
169.928, 120.0999985
170.037, 120.0999985
170.144, 120.1999969
170.25, 120.1999969
170.36, 120.0999985
170.469, 120.0999985
170.575, 120
170.679, 119.9000015
170.791, 119.7999954
170.898, 119.6999969
171.004, 119.5999985
171.114, 119.4000015
171.22, 119.2999954
171.332, 118.9000015
171.439, 118.5
171.548, 118.1999969
171.657, 117.7999954
171.764, 117.5999985
171.873, 117.5999985
171.98, 117.5999985
172.087, 117.5999985
172.197, 117.5999985
172.305, 117.5999985
172.411, 117.5999985
172.517, 117.5
172.624, 117.5999985
172.73, 117.5
172.837, 117.5
172.949, 117.5
173.061, 117.5
173.17, 117.4000015
173.282, 117.4000015
173.388, 117.4000015
173.498, 117.4000015
173.604, 117.2999954
173.711, 117.4000015
173.821, 117.1999969
173.93, 117.1999969
174.037, 117.2999954
174.149, 117.1999969
174.253, 117.1999969
174.362, 117.1999969
174.471, 117.0999985
174.581, 117.0999985
174.687, 117.0999985
174.794, 117.0999985
174.904, 117.0999985
175.013, 117
175.117, 116.9000015
175.224, 116.9000015
175.335, 116.9000015
175.445, 116.9000015
175.551, 116.7999954
175.657, 116.7999954
175.767, 116.6999969
175.877, 116.6999969
175.983, 116.5999985
176.089, 116.5
176.18, 116.5
176.289, 116.5
176.395, 116.5
176.504, 116.4000015
176.611, 116.4000015
176.717, 116.4000015
176.821, 116.4000015
176.931, 116.2999954
177.037, 116.1999969
177.144, 116.1999969
177.248, 116.0999985
177.357, 116.0999985
177.466, 116
177.573, 115.8999939
177.684, 115.7999954
177.794, 115.6999969
177.903, 115.7999954
178.012, 115.6999969
178.12, 115.6999969
178.226, 115.5999985
178.335, 115.5
178.439, 115.3999939
178.545, 115.3999939
178.655, 115.3999939
178.761, 115.3999939
178.871, 115.2999954
178.977, 115.2999954
179.084, 115.1999969
179.19, 115.1999969
179.297, 115.0999985
179.406, 115
179.515, 115
179.619, 114.8999939
179.728, 114.7999954
179.835, 114.7999954
179.944, 114.6999969
180.056, 114.6999969
180.165, 114.5999985
180.272, 114.5
180.382, 114.5
180.491, 114.3999939
180.603, 114.3999939
180.713, 114.2999954
180.822, 114.1999969
180.929, 114.1999969
181.038, 114.1999969
181.142, 114
181.253, 114.0999985
181.363, 114.0999985
181.469, 114
181.56, 114
181.668, 113.8999939
181.775, 113.8999939
181.882, 113.8999939
181.988, 113.8999939
182.097, 113.7999954
182.204, 113.8999939
182.311, 113.7999954
182.415, 113.7999954
182.524, 113.7999954
182.628, 113.6999969
182.732, 113.7999954
182.841, 113.6999969
182.951, 113.5999985
183.057, 113.5
183.164, 113.5
183.27, 113.5
183.38, 113.3999939
183.486, 113.2999954
183.593, 113.2999954
183.699, 113.3999939
183.809, 113.2999954
183.915, 113.1999969
184.021, 113
184.128, 113
184.235, 113
184.347, 113.0999985
184.456, 112.6999969
184.562, 113.1999969
184.666, 113.2999954
184.757, 112.8999939
184.863, 112.2999954
184.97, 112
185.076, 112.8999939
185.183, 112.5
185.289, 112.8999939
185.399, 112.6999969
185.508, 112.6999969
185.617, 112.6999969
185.721, 112.7999954
185.83, 112.7999954
185.937, 112.8999939
186.044, 112.8999939
186.156, 112.8999939
186.262, 112.8999939
186.353, 112.8999939
186.459, 112.7999954
186.568, 112.8999939
186.678, 112.8999939
186.787, 112.8999939
186.896, 112.8999939
187.006, 112.8999939
187.112, 112.7999954
187.218, 112.7999954
187.325, 112.8999939
187.432, 112.8999939
187.544, 113
187.651, 112.8999939
187.763, 113
187.869, 112.8999939
187.976, 112.8999939
188.067, 112.7999954
188.176, 112.8999939
188.282, 112.8999939
188.389, 112.8999939
188.496, 112.7999954
188.606, 112.7999954
188.715, 112.7999954
188.825, 112.7999954
188.933, 112.8999939
189.024, 112.8999939
189.13, 112.8999939
189.24, 112.7999954
189.346, 113
189.452, 113
189.562, 112.8999939
189.669, 112.8999939
189.78, 112.8999939
189.89, 112.8999939
189.996, 113
190.106, 113
190.212, 113
190.322, 113.0999985
190.432, 112.8999939
190.541, 112.8999939
190.65, 113
190.757, 112.8999939
190.863, 112.8999939
190.954, 112.7999954
191.06, 112.8999939
191.167, 113
191.274, 112.8999939
191.38, 113
191.492, 113
191.599, 113.0999985
191.708, 113
191.82, 113
191.929, 113.0999985
192.036, 113.0999985
192.143, 113.0999985
192.252, 113.0999985
192.359, 113.0999985
192.468, 113.0999985
192.578, 113
192.687, 113.1999969
192.796, 113.1999969
192.905, 113.1999969
193.012, 113.2999954
193.121, 113.2999954
193.233, 113.2999954
193.339, 113.2999954
193.449, 113.2999954
193.558, 113.2999954
193.667, 113.2999954
193.777, 113.0999985
193.883, 113.0999985
193.974, 113.0999985
194.08, 113.0999985
194.187, 113.0999985
194.293, 113.0999985
194.398, 112.8999939
194.507, 113
194.611, 113.0999985
194.722, 113.0999985
194.831, 113.1999969
194.938, 113.1999969
195.043, 113
195.149, 113.0999985
195.258, 113
195.365, 113.0999985
195.477, 113.0999985
195.588, 112.8999939
195.7, 112.7999954
195.81, 112.8999939
195.916, 112.8999939
196.026, 112.8999939
196.135, 112.8999939
196.244, 112.7999954
196.351, 112.7999954
196.461, 112.7999954
196.567, 112.7999954
196.671, 112.7999954
196.783, 112.8999939
196.892, 112.7999954
197.001, 112.7999954
197.111, 112.7999954
197.217, 112.7999954
197.323, 112.8999939
197.433, 114.6999969
197.543, 117.2999954
197.649, 118.0999985
197.752, 118.5
197.843, 118.5999985
197.952, 118.6999969
198.056, 118.6999969
198.162, 118.6999969
198.269, 118.7999954
198.378, 118.7999954
198.487, 118.9000015
198.591, 118.9000015
198.693, 118.9000015
198.799, 119
198.905, 119
199.012, 119
199.122, 119.0999985
199.231, 119.0999985
199.339, 119.0999985
199.445, 119.0999985
199.551, 119.0999985
199.655, 119.1999969
199.767, 119.1999969
199.874, 119.1999969
199.98, 119.1999969
200.086, 119.2999954
200.194, 119.2999954
200.303, 119.2999954
200.412, 119.2999954
200.522, 119.2999954
200.631, 119.2999954
200.74, 119.2999954
200.846, 119.4000015
200.953, 119.4000015
201.062, 119.4000015
201.171, 119.4000015
201.278, 119.4000015
201.385, 119.5
201.491, 119.4000015
201.598, 119.5
201.704, 119.5
201.811, 119.5
201.92, 119.5
202.029, 119.5
202.136, 119.5
202.248, 119.5999985
202.36, 119.5999985
202.472, 119.5999985
202.581, 119.5999985
202.687, 119.5999985
202.778, 119.5999985
202.888, 119.5999985
202.995, 119.5999985
203.104, 119.5999985
203.214, 119.6999969
203.317, 119.6999969
203.426, 119.6999969
203.538, 119.5999985
203.645, 119.0999985
203.749, 118.7999954
203.859, 118.4000015
203.965, 117.6999969
204.077, 116.6999969
204.181, 116.0999985
204.288, 115.6999969
204.397, 115.6999969
204.504, 115.5
204.615, 115.2999954
204.724, 115.0999985
204.834, 114.6999969
204.94, 114.5999985
205.047, 114.5999985
205.154, 114.5
205.26, 114.5
205.371, 114.3999939
205.48, 114.2999954
205.589, 114.1999969
205.698, 114.0999985
205.804, 114
205.911, 113.8999939
206.018, 113.7999954
206.122, 113.6999969
206.225, 113.5999985
206.33, 113.3999939
206.436, 113.2999954
206.545, 113.2999954
206.652, 113.0999985
206.761, 113
206.868, 112.8999939
206.975, 112.7999954
207.087, 112.6999969
207.195, 112.5999985
207.305, 112.5999985
207.412, 112.5
207.518, 112.3999939
207.625, 112.2999954
207.728, 112.2999954
207.835, 112.2999954
207.942, 112.1999969
208.049, 112
208.161, 112
208.27, 111.7999954
208.377, 111.8999939
208.484, 111.8999939
208.592, 111.8999939
208.701, 111.7999954
208.806, 111.7999954
208.912, 111.7999954
209.019, 111.6999969
209.134, 111.5999985
209.238, 111.5999985
209.347, 111.5999985
209.459, 111.5
209.565, 111.5
209.672, 111.5
209.781, 111.3999939
209.89, 111.2999954
209.997, 111.2999954
210.102, 111.2999954
210.208, 111.2999954
210.317, 111.3999939
